Tri;Taille;Permutations;Comparaisons
Bubble;10;20;45
Insert;10;20;28
Select;10;6;45
Quick;10;10;28
Fusion;10;13;24
Heap;10;26;55
Bubble;10;16;45
Insert;10;16;24
Select;10;6;45
Quick;10;18;21
Fusion;10;13;23
Heap;10;26;54
Bubble;10;16;45
Insert;10;16;22
Select;10;6;45
Quick;10;24;25
Fusion;10;12;23
Heap;10;25;54
Bubble;10;18;45
Insert;10;18;25
Select;10;8;45
Quick;10;20;19
Fusion;10;13;22
Heap;10;24;53
Bubble;10;26;45
Insert;10;26;32
Select;10;6;45
Quick;10;28;21
Fusion;10;12;24
Heap;10;24;55
Bubble;10;19;45
Insert;10;19;26
Select;10;7;45
Quick;10;22;22
Fusion;10;14;23
Heap;10;27;58
Bubble;10;35;45
Insert;10;35;42
Select;10;7;45
Quick;10;18;21
Fusion;10;7;19
Heap;10;18;52
Bubble;10;27;45
Insert;10;27;36
Select;10;7;45
Quick;10;16;27
Fusion;10;9;21
Heap;10;21;54
Bubble;10;24;45
Insert;10;24;30
Select;10;8;45
Quick;10;30;23
Fusion;10;11;23
Heap;10;22;52
Bubble;10;30;45
Insert;10;30;36
Select;10;8;45
Quick;10;26;21
Fusion;10;6;19
Heap;10;20;53
Bubble;20;105;190
Insert;20;105;120
Select;20;15;190
Quick;20;82;64
Fusion;20;29;61
Heap;20;63;163
Bubble;20;110;190
Insert;20;110;126
Select;20;16;190
Quick;20;120;92
Fusion;20;29;64
Heap;20;58;149
Bubble;20;102;190
Insert;20;102;118
Select;20;18;190
Quick;20;66;67
Fusion;20;29;59
Heap;20;60;154
Bubble;20;68;190
Insert;20;68;85
Select;20;14;190
Quick;20;32;74
Fusion;20;38;66
Heap;20;67;154
Bubble;20;102;190
Insert;20;102;120
Select;20;18;190
Quick;20;64;78
Fusion;20;31;59
Heap;20;60;149
Bubble;20;105;190
Insert;20;105;121
Select;20;15;190
Quick;20;68;68
Fusion;20;33;66
Heap;20;59;153
Bubble;20;83;190
Insert;20;83;99
Select;20;15;190
Quick;20;66;61
Fusion;20;36;67
Heap;20;65;155
Bubble;20;109;190
Insert;20;109;124
Select;20;19;190
Quick;20;64;61
Fusion;20;33;66
Heap;20;62;160
Bubble;20;125;190
Insert;20;125;140
Select;20;17;190
Quick;20;70;61
Fusion;20;32;59
Heap;20;60;159
Bubble;20;76;190
Insert;20;76;90
Select;20;16;190
Quick;20;74;72
Fusion;20;37;66
Heap;20;65;157
Bubble;30;235;435
Insert;30;235;262
Select;30;27;435
Quick;30;118;139
Fusion;30;56;110
Heap;30;118;301
Bubble;30;157;435
Insert;30;157;182
Select;30;27;435
Quick;30;102;132
Fusion;30;65;110
Heap;30;126;294
Bubble;30;226;435
Insert;30;226;250
Select;30;26;435
Quick;30;134;118
Fusion;30;54;113
Heap;30;105;272
Bubble;30;177;435
Insert;30;177;203
Select;30;23;435
Quick;30;122;118
Fusion;30;58;114
Heap;30;118;297
Bubble;30;243;435
Insert;30;243;269
Select;30;27;435
Quick;30;114;111
Fusion;30;61;114
Heap;30;116;295
Bubble;30;237;435
Insert;30;237;261
Select;30;29;435
Quick;30;158;128
Fusion;30;56;108
Heap;30;101;276
Bubble;30;185;435
Insert;30;185;211
Select;30;25;435
Quick;30;138;135
Fusion;30;60;113
Heap;30;110;287
Bubble;30;218;435
Insert;30;218;244
Select;30;26;435
Quick;30;98;115
Fusion;30;58;114
Heap;30;104;280
Bubble;30;241;435
Insert;30;241;267
Select;30;27;435
Quick;30;180;138
Fusion;30;64;111
Heap;30;100;268
Bubble;30;269;435
Insert;30;269;292
Select;30;27;435
Quick;30;168;136
Fusion;30;56;112
Heap;30;99;275
Bubble;40;451;780
Insert;40;451;481
Select;40;35;780
Quick;40;280;194
Fusion;40;84;165
Heap;40;161;421
Bubble;40;390;780
Insert;40;390;426
Select;40;34;780
Quick;40;228;203
Fusion;40;84;163
Heap;40;156;420
Bubble;40;399;780
Insert;40;399;434
Select;40;35;780
Quick;40;230;191
Fusion;40;92;169
Heap;40;165;431
Bubble;40;520;780
Insert;40;520;554
Select;40;36;780
Quick;40;166;161
Fusion;40;91;171
Heap;40;157;422
Bubble;40;416;780
Insert;40;416;454
Select;40;36;780
Quick;40;254;203
Fusion;40;90;164
Heap;40;163;417
Bubble;40;397;780
Insert;40;397;434
Select;40;35;780
Quick;40;128;168
Fusion;40;93;162
Heap;40;180;438
Bubble;40;435;780
Insert;40;435;468
Select;40;37;780
Quick;40;270;244
Fusion;40;77;158
Heap;40;150;405
Bubble;40;307;780
Insert;40;307;345
Select;40;33;780
Quick;40;170;259
Fusion;40;88;172
Heap;40;183;447
Bubble;40;394;780
Insert;40;394;431
Select;40;36;780
Quick;40;186;177
Fusion;40;86;162
Heap;40;173;441
Bubble;40;387;780
Insert;40;387;422
Select;40;35;780
Quick;40;252;213
Fusion;40;84;165
Heap;40;164;423
Bubble;50;629;1225
Insert;50;629;673
Select;50;47;1225
Quick;50;296;246
Fusion;50;118;223
Heap;50;220;570
Bubble;50;626;1225
Insert;50;626;671
Select;50;47;1225
Quick;50;250;239
Fusion;50;110;223
Heap;50;217;581
Bubble;50;632;1225
Insert;50;632;678
Select;50;46;1225
Quick;50;222;226
Fusion;50;117;222
Heap;50;228;578
Bubble;50;674;1225
Insert;50;674;717
Select;50;46;1225
Quick;50;270;247
Fusion;50;107;222
Heap;50;205;545
Bubble;50;598;1225
Insert;50;598;646
Select;50;44;1225
Quick;50;364;353
Fusion;50;116;226
Heap;50;225;574
Bubble;50;533;1225
Insert;50;533;581
Select;50;47;1225
Quick;50;188;262
Fusion;50;117;222
Heap;50;230;579
Bubble;50;708;1225
Insert;50;708;752
Select;50;47;1225
Quick;50;254;229
Fusion;50;118;220
Heap;50;212;575
Bubble;50;560;1225
Insert;50;560;606
Select;50;44;1225
Quick;50;242;255
Fusion;50;116;227
Heap;50;233;578
Bubble;50;573;1225
Insert;50;573;621
Select;50;47;1225
Quick;50;174;260
Fusion;50;122;222
Heap;50;231;589
Bubble;50;631;1225
Insert;50;631;677
Select;50;43;1225
Quick;50;290;270
Fusion;50;110;222
Heap;50;219;570
Bubble;60;876;1770
Insert;60;876;930
Select;60;56;1770
Quick;60;390;366
Fusion;60;149;280
Heap;60;278;728
Bubble;60;873;1770
Insert;60;873;927
Select;60;55;1770
Quick;60;260;294
Fusion;60;141;285
Heap;60;278;738
Bubble;60;897;1770
Insert;60;897;954
Select;60;55;1770
Quick;60;276;449
Fusion;60;136;277
Heap;60;292;740
Bubble;60;1006;1770
Insert;60;1006;1063
Select;60;56;1770
Quick;60;342;352
Fusion;60;150;279
Heap;60;264;725
Bubble;60;918;1770
Insert;60;918;973
Select;60;54;1770
Quick;60;478;388
Fusion;60;143;280
Heap;60;279;743
Bubble;60;846;1770
Insert;60;846;903
Select;60;54;1770
Quick;60;326;309
Fusion;60;144;278
Heap;60;298;759
Bubble;60;915;1770
Insert;60;915;970
Select;60;57;1770
Quick;60;260;271
Fusion;60;144;282
Heap;60;294;769
Bubble;60;844;1770
Insert;60;844;900
Select;60;55;1770
Quick;60;234;333
Fusion;60;146;289
Heap;60;287;766
Bubble;60;848;1770
Insert;60;848;904
Select;60;54;1770
Quick;60;306;311
Fusion;60;147;277
Heap;60;273;719
Bubble;60;935;1770
Insert;60;935;992
Select;60;57;1770
Quick;60;266;294
Fusion;60;143;281
Heap;60;275;731
Bubble;70;1471;2415
Insert;70;1471;1533
Select;70;64;2415
Quick;70;398;377
Fusion;70;173;346
Heap;70;334;908
Bubble;70;1084;2415
Insert;70;1084;1153
Select;70;63;2415
Quick;70;384;443
Fusion;70;184;350
Heap;70;344;900
Bubble;70;1239;2415
Insert;70;1239;1305
Select;70;65;2415
Quick;70;396;433
Fusion;70;176;337
Heap;70;353;927
Bubble;70;1275;2415
Insert;70;1275;1338
Select;70;65;2415
Quick;70;508;422
Fusion;70;178;350
Heap;70;336;907
Bubble;70;1013;2415
Insert;70;1013;1080
Select;70;65;2415
Quick;70;310;372
Fusion;70;179;345
Heap;70;367;913
Bubble;70;1113;2415
Insert;70;1113;1178
Select;70;65;2415
Quick;70;336;388
Fusion;70;167;338
Heap;70;357;929
Bubble;70;1186;2415
Insert;70;1186;1249
Select;70;68;2415
Quick;70;436;388
Fusion;70;178;345
Heap;70;346;918
Bubble;70;1240;2415
Insert;70;1240;1301
Select;70;66;2415
Quick;70;556;427
Fusion;70;174;346
Heap;70;335;893
Bubble;70;1330;2415
Insert;70;1330;1393
Select;70;64;2415
Quick;70;466;432
Fusion;70;181;349
Heap;70;336;905
Bubble;70;1288;2415
Insert;70;1288;1353
Select;70;64;2415
Quick;70;452;456
Fusion;70;174;343
Heap;70;330;887
Bubble;80;1502;3160
Insert;80;1502;1575
Select;80;76;3160
Quick;80;504;441
Fusion;80;213;407
Heap;80;417;1099
Bubble;80;1407;3160
Insert;80;1407;1481
Select;80;73;3160
Quick;80;454;471
Fusion;80;215;411
Heap;80;424;1104
Bubble;80;1690;3160
Insert;80;1690;1762
Select;80;76;3160
Quick;80;564;471
Fusion;80;214;415
Heap;80;406;1090
Bubble;80;1770;3160
Insert;80;1770;1845
Select;80;71;3160
Quick;80;434;429
Fusion;80;193;399
Heap;80;402;1091
Bubble;80;1569;3160
Insert;80;1569;1642
Select;80;75;3160
Quick;80;682;493
Fusion;80;210;402
Heap;80;407;1088
Bubble;80;1511;3160
Insert;80;1511;1585
Select;80;73;3160
Quick;80;578;496
Fusion;80;209;413
Heap;80;415;1080
Bubble;80;1681;3160
Insert;80;1681;1755
Select;80;73;3160
Quick;80;532;470
Fusion;80;209;409
Heap;80;392;1064
Bubble;80;1759;3160
Insert;80;1759;1833
Select;80;76;3160
Quick;80;398;410
Fusion;80;204;410
Heap;80;408;1094
Bubble;80;1536;3160
Insert;80;1536;1612
Select;80;74;3160
Quick;80;458;448
Fusion;80;210;411
Heap;80;424;1125
Bubble;80;1562;3160
Insert;80;1562;1635
Select;80;74;3160
Quick;80;678;533
Fusion;80;218;402
Heap;80;411;1068
Bubble;90;2085;4005
Insert;90;2085;2173
Select;90;86;4005
Quick;90;742;719
Fusion;90;250;468
Heap;90;479;1267
Bubble;90;2173;4005
Insert;90;2173;2259
Select;90;87;4005
Quick;90;578;567
Fusion;90;264;481
Heap;90;468;1242
Bubble;90;2134;4005
Insert;90;2134;2217
Select;90;84;4005
Quick;90;688;676
Fusion;90;228;465
Heap;90;481;1285
Bubble;90;1794;4005
Insert;90;1794;1880
Select;90;85;4005
Quick;90;416;564
Fusion;90;255;472
Heap;90;508;1293
Bubble;90;2208;4005
Insert;90;2208;2292
Select;90;86;4005
Quick;90;496;493
Fusion;90;249;473
Heap;90;471;1266
Bubble;90;2085;4005
Insert;90;2085;2172
Select;90;87;4005
Quick;90;454;608
Fusion;90;248;477
Heap;90;468;1259
Bubble;90;1842;4005
Insert;90;1842;1925
Select;90;83;4005
Quick;90;754;606
Fusion;90;256;478
Heap;90;473;1259
Bubble;90;1846;4005
Insert;90;1846;1930
Select;90;87;4005
Quick;90;554;595
Fusion;90;256;477
Heap;90;473;1258
Bubble;90;1770;4005
Insert;90;1770;1856
Select;90;85;4005
Quick;90;582;523
Fusion;90;244;479
Heap;90;485;1273
Bubble;90;2050;4005
Insert;90;2050;2135
Select;90;86;4005
Quick;90;552;510
Fusion;90;242;470
Heap;90;488;1262
Bubble;100;2299;4950
Insert;100;2299;2394
Select;100;95;4950
Quick;100;514;627
Fusion;100;283;546
Heap;100;551;1456
Bubble;100;2596;4950
Insert;100;2596;2691
Select;100;95;4950
Quick;100;644;637
Fusion;100;282;542
Heap;100;548;1463
Bubble;100;2562;4950
Insert;100;2562;2654
Select;100;96;4950
Quick;100;652;630
Fusion;100;283;540
Heap;100;534;1449
Bubble;100;2260;4950
Insert;100;2260;2355
Select;100;96;4950
Quick;100;524;666
Fusion;100;290;542
Heap;100;551;1453
Bubble;100;2327;4950
Insert;100;2327;2422
Select;100;95;4950
Quick;100;582;613
Fusion;100;292;547
Heap;100;564;1455
Bubble;100;2653;4950
Insert;100;2653;2748
Select;100;97;4950
Quick;100;612;681
Fusion;100;278;539
Heap;100;528;1448
Bubble;100;2353;4950
Insert;100;2353;2446
Select;100;95;4950
Quick;100;694;720
Fusion;100;277;536
Heap;100;541;1444
Bubble;100;2814;4950
Insert;100;2814;2906
Select;100;97;4950
Quick;100;720;674
Fusion;100;274;541
Heap;100;546;1470
Bubble;100;2228;4950
Insert;100;2228;2324
Select;100;93;4950
Quick;100;498;637
Fusion;100;275;543
Heap;100;550;1463
Bubble;100;2696;4950
Insert;100;2696;2791
Select;100;94;4950
Quick;100;504;599
Fusion;100;277;545
Heap;100;526;1444
Bubble;110;3075;5995
Insert;110;3075;3177
Select;110;106;5995
Quick;110;766;756
Fusion;110;333;620
Heap;110;636;1693
Bubble;110;3041;5995
Insert;110;3041;3146
Select;110;106;5995
Quick;110;836;738
Fusion;110;316;614
Heap;110;586;1610
Bubble;110;2934;5995
Insert;110;2934;3038
Select;110;104;5995
Quick;110;690;776
Fusion;110;321;611
Heap;110;612;1618
Bubble;110;2938;5995
Insert;110;2938;3042
Select;110;105;5995
Quick;110;872;752
Fusion;110;295;603
Heap;110;608;1645
Bubble;110;3005;5995
Insert;110;3005;3110
Select;110;108;5995
Quick;110;786;787
Fusion;110;320;615
Heap;110;620;1656
Bubble;110;3053;5995
Insert;110;3053;3156
Select;110;104;5995
Quick;110;732;699
Fusion;110;313;616
Heap;110;622;1635
Bubble;110;3116;5995
Insert;110;3116;3221
Select;110;104;5995
Quick;110;808;747
Fusion;110;299;594
Heap;110;611;1646
Bubble;110;2683;5995
Insert;110;2683;2788
Select;110;103;5995
Quick;110;506;725
Fusion;110;332;605
Heap;110;634;1660
Bubble;110;2878;5995
Insert;110;2878;2984
Select;110;99;5995
Quick;110;612;702
Fusion;110;303;607
Heap;110;618;1631
Bubble;110;2819;5995
Insert;110;2819;2923
Select;110;100;5995
Quick;110;822;696
Fusion;110;316;611
Heap;110;623;1645
Bubble;120;3817;7140
Insert;120;3817;3934
Select;120;113;7140
Quick;120;650;806
Fusion;120;347;685
Heap;120;679;1844
Bubble;120;3865;7140
Insert;120;3865;3980
Select;120;111;7140
Quick;120;734;770
Fusion;120;335;686
Heap;120;686;1864
Bubble;120;3563;7140
Insert;120;3563;3681
Select;120;114;7140
Quick;120;876;943
Fusion;120;326;681
Heap;120;658;1795
Bubble;120;3331;7140
Insert;120;3331;3448
Select;120;115;7140
Quick;120;780;775
Fusion;120;359;689
Heap;120;679;1844
Bubble;120;3113;7140
Insert;120;3113;3229
Select;120;112;7140
Quick;120;842;838
Fusion;120;354;683
Heap;120;704;1845
Bubble;120;3351;7140
Insert;120;3351;3466
Select;120;111;7140
Quick;120;596;848
Fusion;120;346;676
Heap;120;686;1838
Bubble;120;3989;7140
Insert;120;3989;4106
Select;120;115;7140
Quick;120;612;759
Fusion;120;344;673
Heap;120;672;1813
Bubble;120;3482;7140
Insert;120;3482;3598
Select;120;117;7140
Quick;120;890;925
Fusion;120;353;688
Heap;120;681;1835
Bubble;120;3480;7140
Insert;120;3480;3597
Select;120;115;7140
Quick;120;830;850
Fusion;120;357;679
Heap;120;686;1825
Bubble;120;3414;7140
Insert;120;3414;3529
Select;120;113;7140
Quick;120;672;913
Fusion;120;340;678
Heap;120;679;1830
Bubble;130;4350;8385
Insert;130;4350;4473
Select;130;128;8385
Quick;130;792;839
Fusion;130;379;752
Heap;130;750;2030
Bubble;130;4450;8385
Insert;130;4450;4576
Select;130;123;8385
Quick;130;902;954
Fusion;130;382;751
Heap;130;727;2025
Bubble;130;4170;8385
Insert;130;4170;4290
Select;130;122;8385
Quick;130;984;851
Fusion;130;388;753
Heap;130;745;2006
Bubble;130;4336;8385
Insert;130;4336;4458
Select;130;124;8385
Quick;130;982;860
Fusion;130;356;735
Heap;130;755;2049
Bubble;130;3939;8385
Insert;130;3939;4064
Select;130;125;8385
Quick;130;778;978
Fusion;130;395;743
Heap;130;765;2018
Bubble;130;3965;8385
Insert;130;3965;4088
Select;130;124;8385
Quick;130;922;868
Fusion;130;381;748
Heap;130;791;2076
Bubble;130;4082;8385
Insert;130;4082;4205
Select;130;121;8385
Quick;130;838;862
Fusion;130;388;746
Heap;130;746;2029
Bubble;130;3939;8385
Insert;130;3939;4063
Select;130;125;8385
Quick;130;852;919
Fusion;130;396;751
Heap;130;766;2038
Bubble;130;4472;8385
Insert;130;4472;4596
Select;130;123;8385
Quick;130;894;855
Fusion;130;377;750
Heap;130;726;2004
Bubble;130;4415;8385
Insert;130;4415;4541
Select;130;123;8385
Quick;130;1018;990
Fusion;130;383;748
Heap;130;748;2018
Bubble;140;4941;9730
Insert;140;4941;5074
Select;140;134;9730
Quick;140;1164;974
Fusion;140;426;827
Heap;140;813;2223
Bubble;140;4634;9730
Insert;140;4634;4770
Select;140;133;9730
Quick;140;838;941
Fusion;140;423;820
Heap;140;821;2209
Bubble;140;5122;9730
Insert;140;5122;5258
Select;140;137;9730
Quick;140;854;910
Fusion;140;426;828
Heap;140;802;2191
Bubble;140;4641;9730
Insert;140;4641;4773
Select;140;136;9730
Quick;140;856;916
Fusion;140;425;832
Heap;140;847;2239
Bubble;140;5014;9730
Insert;140;5014;5147
Select;140;135;9730
Quick;140;1116;1042
Fusion;140;436;829
Heap;140;813;2232
Bubble;140;5169;9730
Insert;140;5169;5306
Select;140;132;9730
Quick;140;976;1010
Fusion;140;434;830
Heap;140;805;2230
Bubble;140;4437;9730
Insert;140;4437;4571
Select;140;136;9730
Quick;140;924;923
Fusion;140;440;834
Heap;140;841;2252
Bubble;140;4768;9730
Insert;140;4768;4897
Select;140;136;9730
Quick;140;1370;1096
Fusion;140;416;832
Heap;140;832;2220
Bubble;140;4810;9730
Insert;140;4810;4947
Select;140;134;9730
Quick;140;790;1032
Fusion;140;440;832
Heap;140;842;2238
Bubble;140;4787;9730
Insert;140;4787;4921
Select;140;129;9730
Quick;140;824;935
Fusion;140;451;836
Heap;140;808;2215
Bubble;150;5674;11175
Insert;150;5674;5820
Select;150;143;11175
Quick;150;1540;1262
Fusion;150;467;910
Heap;150;929;2476
Bubble;150;5607;11175
Insert;150;5607;5749
Select;150;146;11175
Quick;150;992;977
Fusion;150;466;892
Heap;150;906;2441
Bubble;150;5508;11175
Insert;150;5508;5652
Select;150;143;11175
Quick;150;1312;1242
Fusion;150;465;906
Heap;150;902;2424
Bubble;150;5391;11175
Insert;150;5391;5536
Select;150;147;11175
Quick;150;938;1046
Fusion;150;454;893
Heap;150;912;2451
Bubble;150;5557;11175
Insert;150;5557;5702
Select;150;143;11175
Quick;150;1232;1100
Fusion;150;468;900
Heap;150;904;2462
Bubble;150;5580;11175
Insert;150;5580;5720
Select;150;144;11175
Quick;150;1536;1140
Fusion;150;467;897
Heap;150;894;2430
Bubble;150;5357;11175
Insert;150;5357;5502
Select;150;148;11175
Quick;150;1024;1077
Fusion;150;477;900
Heap;150;893;2438
Bubble;150;5937;11175
Insert;150;5937;6079
Select;150;146;11175
Quick;150;1212;1056
Fusion;150;459;904
Heap;150;872;2410
Bubble;150;5054;11175
Insert;150;5054;5200
Select;150;142;11175
Quick;150;1076;1068
Fusion;150;472;908
Heap;150;922;2422
Bubble;150;4938;11175
Insert;150;4938;5084
Select;150;146;11175
Quick;150;1142;1103
Fusion;150;483;912
Heap;150;919;2450
Bubble;160;6316;12720
Insert;160;6316;6470
Select;160;157;12720
Quick;160;1306;1164
Fusion;160;505;981
Heap;160;985;2657
Bubble;160;6005;12720
Insert;160;6005;6161
Select;160;155;12720
Quick;160;1246;1189
Fusion;160;494;965
Heap;160;987;2646
Bubble;160;6049;12720
Insert;160;6049;6203
Select;160;155;12720
Quick;160;1064;1041
Fusion;160;493;971
Heap;160;978;2680
Bubble;160;6085;12720
Insert;160;6085;6241
Select;160;153;12720
Quick;160;878;1100
Fusion;160;502;968
Heap;160;991;2666
Bubble;160;6420;12720
Insert;160;6420;6574
Select;160;152;12720
Quick;160;1194;1152
Fusion;160;481;965
Heap;160;954;2598
Bubble;160;6163;12720
Insert;160;6163;6319
Select;160;152;12720
Quick;160;958;1074
Fusion;160;497;960
Heap;160;968;2649
Bubble;160;6435;12720
Insert;160;6435;6591
Select;160;154;12720
Quick;160;1192;1326
Fusion;160;488;969
Heap;160;967;2616
Bubble;160;6040;12720
Insert;160;6040;6192
Select;160;159;12720
Quick;160;1182;1087
Fusion;160;502;980
Heap;160;1005;2663
Bubble;160;6527;12720
Insert;160;6527;6680
Select;160;154;12720
Quick;160;1288;1171
Fusion;160;498;974
Heap;160;958;2622
Bubble;160;6538;12720
Insert;160;6538;6693
Select;160;156;12720
Quick;160;874;1192
Fusion;160;508;977
Heap;160;978;2641
Bubble;170;7664;14365
Insert;170;7664;7825
Select;170;169;14365
Quick;170;1450;1383
Fusion;170;536;1049
Heap;170;1027;2855
Bubble;170;6589;14365
Insert;170;6589;6751
Select;170;166;14365
Quick;170;1358;1399
Fusion;170;546;1056
Heap;170;1086;2868
Bubble;170;6331;14365
Insert;170;6331;6494
Select;170;165;14365
Quick;170;1122;1188
Fusion;170;551;1045
Heap;170;1099;2890
Bubble;170;7539;14365
Insert;170;7539;7707
Select;170;165;14365
Quick;170;1156;1347
Fusion;170;538;1035
Heap;170;1051;2862
Bubble;170;7580;14365
Insert;170;7580;7744
Select;170;162;14365
Quick;170;1130;1268
Fusion;170;545;1048
Heap;170;1069;2866
Bubble;170;6806;14365
Insert;170;6806;6971
Select;170;163;14365
Quick;170;1110;1229
Fusion;170;546;1055
Heap;170;1066;2850
Bubble;170;8021;14365
Insert;170;8021;8185
Select;170;165;14365
Quick;170;1236;1258
Fusion;170;545;1053
Heap;170;1015;2811
Bubble;170;7479;14365
Insert;170;7479;7646
Select;170;165;14365
Quick;170;1040;1198
Fusion;170;533;1036
Heap;170;1055;2876
Bubble;170;7551;14365
Insert;170;7551;7714
Select;170;163;14365
Quick;170;1468;1398
Fusion;170;542;1057
Heap;170;1044;2871
Bubble;170;7112;14365
Insert;170;7112;7277
Select;170;164;14365
Quick;170;1304;1288
Fusion;170;546;1043
Heap;170;1072;2883
Bubble;180;7604;16110
Insert;180;7604;7777
Select;180;175;16110
Quick;180;1336;1406
Fusion;180;575;1120
Heap;180;1149;3072
Bubble;180;8147;16110
Insert;180;8147;8321
Select;180;171;16110
Quick;180;1184;1272
Fusion;180;580;1128
Heap;180;1112;3019
Bubble;180;8488;16110
Insert;180;8488;8664
Select;180;174;16110
Quick;180;1048;1343
Fusion;180;575;1131
Heap;180;1095;3027
Bubble;180;7553;16110
Insert;180;7553;7726
Select;180;175;16110
Quick;180;1292;1244
Fusion;180;572;1109
Heap;180;1165;3085
Bubble;180;7623;16110
Insert;180;7623;7794
Select;180;173;16110
Quick;180;1298;1296
Fusion;180;574;1128
Heap;180;1120;3036
Bubble;180;7771;16110
Insert;180;7771;7944
Select;180;176;16110
Quick;180;1542;1362
Fusion;180;583;1130
Heap;180;1131;3059
Bubble;180;7955;16110
Insert;180;7955;8126
Select;180;177;16110
Quick;180;1370;1242
Fusion;180;585;1113
Heap;180;1158;3084
Bubble;180;8379;16110
Insert;180;8379;8552
Select;180;176;16110
Quick;180;1358;1310
Fusion;180;572;1121
Heap;180;1118;3091
Bubble;180;7510;16110
Insert;180;7510;7688
Select;180;173;16110
Quick;180;1496;1628
Fusion;180;577;1132
Heap;180;1148;3091
Bubble;180;7480;16110
Insert;180;7480;7654
Select;180;172;16110
Quick;180;1068;1300
Fusion;180;563;1131
Heap;180;1154;3087
Bubble;190;8421;17955
Insert;190;8421;8606
Select;190;184;17955
Quick;190;1338;1350
Fusion;190;605;1216
Heap;190;1202;3260
Bubble;190;8894;17955
Insert;190;8894;9075
Select;190;186;17955
Quick;190;1418;1424
Fusion;190;616;1201
Heap;190;1228;3299
Bubble;190;9253;17955
Insert;190;9253;9432
Select;190;182;17955
Quick;190;1916;1533
Fusion;190;606;1191
Heap;190;1196;3266
Bubble;190;8921;17955
Insert;190;8921;9105
Select;190;185;17955
Quick;190;1354;1354
Fusion;190;629;1211
Heap;190;1214;3291
Bubble;190;8991;17955
Insert;190;8991;9173
Select;190;184;17955
Quick;190;1338;1313
Fusion;190;623;1212
Heap;190;1221;3304
Bubble;190;8822;17955
Insert;190;8822;9007
Select;190;185;17955
Quick;190;1396;1290
Fusion;190;614;1193
Heap;190;1209;3289
Bubble;190;8641;17955
Insert;190;8641;8824
Select;190;184;17955
Quick;190;1768;1490
Fusion;190;622;1211
Heap;190;1232;3295
Bubble;190;8354;17955
Insert;190;8354;8541
Select;190;185;17955
Quick;190;1718;1739
Fusion;190;640;1204
Heap;190;1215;3274
Bubble;190;9590;17955
Insert;190;9590;9776
Select;190;180;17955
Quick;190;1472;1515
Fusion;190;591;1190
Heap;190;1185;3259
Bubble;190;8156;17955
Insert;190;8156;8344
Select;190;181;17955
Quick;190;1304;1581
Fusion;190;627;1212
Heap;190;1216;3273
Bubble;200;9602;19900
Insert;200;9602;9794
Select;200;195;19900
Quick;200;1456;1509
Fusion;200;644;1282
Heap;200;1317;3557
Bubble;200;9285;19900
Insert;200;9285;9479
Select;200;195;19900
Quick;200;1454;1471
Fusion;200;667;1285
Heap;200;1303;3519
Bubble;200;10062;19900
Insert;200;10062;10257
Select;200;192;19900
Quick;200;1428;1549
Fusion;200;658;1284
Heap;200;1272;3444
Bubble;200;8769;19900
Insert;200;8769;8966
Select;200;190;19900
Quick;200;1538;1860
Fusion;200;655;1270
Heap;200;1308;3508
Bubble;200;10436;19900
Insert;200;10436;10629
Select;200;199;19900
Quick;200;1228;1520
Fusion;200;657;1281
Heap;200;1262;3476
Bubble;200;9695;19900
Insert;200;9695;9890
Select;200;194;19900
Quick;200;1506;1601
Fusion;200;680;1291
Heap;200;1274;3437
Bubble;200;9550;19900
Insert;200;9550;9742
Select;200;194;19900
Quick;200;1346;1455
Fusion;200;660;1280
Heap;200;1297;3483
Bubble;200;9709;19900
Insert;200;9709;9902
Select;200;194;19900
Quick;200;1568;1674
Fusion;200;676;1294
Heap;200;1300;3500
Bubble;200;9782;19900
Insert;200;9782;9977
Select;200;197;19900
Quick;200;1470;1493
Fusion;200;648;1276
Heap;200;1276;3494
Bubble;200;10378;19900
Insert;200;10378;10571
Select;200;193;19900
Quick;200;1570;1458
Fusion;200;661;1291
Heap;200;1268;3488
Bubble;210;11007;21945
Insert;210;11007;11212
Select;210;207;21945
Quick;210;2076;1843
Fusion;210;674;1346
Heap;210;1334;3695
Bubble;210;11972;21945
Insert;210;11972;12176
Select;210;205;21945
Quick;210;1434;1484
Fusion;210;683;1345
Heap;210;1334;3687
Bubble;210;11049;21945
Insert;210;11049;11253
Select;210;201;21945
Quick;210;1830;1728
Fusion;210;689;1356
Heap;210;1332;3661
Bubble;210;10692;21945
Insert;210;10692;10897
Select;210;202;21945
Quick;210;1452;1515
Fusion;210;714;1375
Heap;210;1356;3729
Bubble;210;10568;21945
Insert;210;10568;10774
Select;210;205;21945
Quick;210;1460;1687
Fusion;210;714;1356
Heap;210;1382;3714
Bubble;210;10594;21945
Insert;210;10594;10798
Select;210;201;21945
Quick;210;1458;1571
Fusion;210;694;1344
Heap;210;1384;3710
Bubble;210;10704;21945
Insert;210;10704;10909
Select;210;207;21945
Quick;210;1782;1640
Fusion;210;698;1359
Heap;210;1385;3713
Bubble;210;11766;21945
Insert;210;11766;11968
Select;210;207;21945
Quick;210;1422;1448
Fusion;210;696;1356
Heap;210;1341;3680
Bubble;210;11447;21945
Insert;210;11447;11651
Select;210;205;21945
Quick;210;1834;1738
Fusion;210;713;1367
Heap;210;1321;3648
Bubble;210;10199;21945
Insert;210;10199;10402
Select;210;202;21945
Quick;210;1852;1931
Fusion;210;706;1357
